sz000825,太钢不锈,4.32
sz000826,启迪桑德,40.84
sz000828,东莞控股,12.99
sz000829,天音控股,0.00
sz000830,鲁西化工,7.22
sz000831,五矿稀土,22.98
sz000833,贵糖股份,0.00
sz000835,长城动漫,17.53
sz000836,鑫茂科技,0.00
sz000837,秦川机床,16.81
sz000838,财信发展,22.31
sz000839,中信国安,0.00
sz000848,承德露露,14.68
sz000850,华茂股份,0.00
sz000851,高鸿股份,0.00
sz000852,石化机械,19.85
sz000856,冀东装备,12.70
sz000858,五 粮 液,25.28
sz000859,国风塑业,6.64
sz000860,顺鑫农业,18.93
sz000861,海印股份,9.08
sz000862,银星能源,9.42
sz000863,三湘股份,14.21
sz000868,安凯客车,10.46
sz000869,张  裕Ａ,38.82
sz000875,吉电股份,9.77
sz000876,新 希 望,0.00
sz000877,天山股份,8.93
sz000878,云南铜业,12.15
sz000880,潍柴重机,16.57
sz000881,大连国际,0.00
sz000882,华联股份,6.53
sz000883,湖北能源,6.67
sz000885,同力水泥,17.60
sz000886,海南高速,6.85
sz000887,中鼎股份,25.37
sz000888,峨眉山Ａ,12.70
sz000889,茂业通信,16.38
sz000890,法 尔 胜,14.84
sz000892,*ST星美,17.63
sz000893,东凌粮油,15.05
sz000895,双汇发展,19.95
sz000897,津滨发展,5.91
sz000898,鞍钢股份,4.82
sz000899,赣能股份,12.69
sz000900,现代投资,8.60
sz000901,航天科技,0.00
sz000902,新洋丰,25.34
sz000903,云内动力,8.69
sz000905,厦门港务,14.42
sz000906,物产中拓,16.50
sz000908,景峰医药,18.70
sz000909,数源科技,19.10
sz000910,大亚科技,15.89
sz000911,南宁糖业,20.57
sz000912,*ST天化,7.02
sz000913,钱江摩托,13.53
sz000915,山大华特,37.19
sz000916,华北高速,5.97
sz000917,电广传媒,30.25
sz000918,嘉凯城,5.77
sz000919,金陵药业,17.60
sz000920,南方汇通,20.07
sz000921,海信科龙,8.99
sz000922,佳电股份,14.32
sz000923,河北宣工,19.05
sz000925,众合科技,0.00
sz000926,福星股份,14.85
sz000927,*ST夏利,8.00
sz000928,中钢国际,16.79
sz000929,兰州黄河,0.00
sz000930,中粮生化,17.91
sz000931,中 关 村,12.71
sz000932,华菱钢铁,3.11
sz000933,神火股份,4.78
sz000935,四川双马,7.32
sz000936,华西股份,14.15
sz000937,冀中能源,5.47
sz000938,紫光股份,110.10
sz000939,凯迪生态,16.03
sz000948,南天信息,28.90
sz000949,新乡化纤,5.60
sz000950,建峰化工,8.88
sz000951,中国重汽,16.63
sz000952,广济药业,17.26
sz000953,河池化工,16.17
sz000955,欣龙控股,8.95
sz000957,中通客车,22.17
sz000958,东方能源,0.00
sz000959,首钢股份,3.72
sz000960,锡业股份,12.67
sz000961,中南建设,16.28
sz000962,东方钽业,13.72
sz000963,华东医药,77.36
sz000965,天保基建,6.74
sz000966,长源电力,14.76
sz000967,上风高科,24.20
